From Date,To Date,T,TM,Tm,SLP,H,PP,VV,V,VM
28-june-2015-00:00,29-june-2015-00:00,34.4,39,27,999.7,56,0,1.9,9.1,20.6,
29-june-2015-00:00,30-june-2015-00:00,31.1,39,26.2,1004,64,0,1.9,11.7,18.3,
30-june-2015-00:00,31-june-2015-00:00,31.1,36.2,27.7,1002.3,65,0,1.9,10,14.8,
1-july-2015-00:00,2-july-2015-00:00,31.9,37.8,25,1001.8,61,0,1.9,4.3,9.4,
2-july-2015-00:00,3-july-2015-00:00,33.8,38.9,27,1001.1,54,0,1.9,7,13,
3-july-2015-00:00,4-july-2015-00:00,33.4,39.8,27.6,999.7,54,0,1.9,13,25.9,
4-july-2015-00:00,5-july-2015-00:00,34.1,39.8,26.6,997.8,60,0,1.9,16.9,27.8,
5-july-2015-00:00,6-july-2015-00:00,35.3,38.4,31.2,995.3,56,0,1.8,13.5,25.9,
6-july-2015-00:00,7-july-2015-00:00,27.8,38.4,25.6,997.9,85,6.1,1.9,9.3,13,
7-july-2015-00:00,8-july-2015-00:00,28.3,33.6,23.3,998.4,87,10.92,1.9,1.7,7.6,
8-july-2015-00:00,9-july-2015-00:00,31.2,35.8,24.8,998.6,77,26.92,1.9,2.8,11.1,
9-july-2015-00:00,10-july-2015-00:00,29.7,35.8,25.2,998.9,82,1.02,1.9,2.6,9.4,
10-july-2015-00:00,11-july-2015-00:00,27,33.4,26,998.6,93,1.02,1.4,5,20.6,
11-july-2015-00:00,12-july-2015-00:00,25.5,27.9,23,999.6,99,0,0.6,3.1,11.1,
12-july-2015-00:00,13-july-2015-00:00,25.5,26.6,23,998.7,96,69.09,1.8,7.4,18.3,
13-july-2015-00:00,14-july-2015-00:00,29.9,33.7,23.3,1000.6,78,7.11,2.6,4.8,11.1,
14-july-2015-00:00,15-july-2015-00:00,31.1,35.6,26.4,998.5,73,0,1.9,10.9,18.3,
15-july-2015-00:00,16-july-2015-00:00,33.4,37,27,994.1,61,0,1.9,17.2,29.4,
16-july-2015-00:00,17-july-2015-00:00,31.8,37.5,28.9,994.4,68,0,1.9,13.3,18.3,
17-july-2015-00:00,18-july-2015-00:00,30.9,37.5,27,997.3,80,0.25,1.9,4.4,13,
18-july-2015-00:00,19-july-2015-00:00,29.6,34.8,27.2,997.9,83,0,1.9,4.1,14.8,
19-july-2015-00:00,20-july-2015-00:00,30.1,34.7,26,997.7,76,2.03,1.9,0.7,5.4,
20-july-2015-00:00,21-july-2015-00:00,29.1,34.7,24.4,999.2,82,3.05,1.9,4.8,11.1,
21-july-2015-00:00,22-july-2015-00:00,31.5,35.7,25.7,999.9,74,4.06,1.9,8.1,13,
22-july-2015-00:00,23-july-2015-00:00,32.3,36.7,27.5,1001,70,0,1.9,8,11.1,
23-july-2015-00:00,24-july-2015-00:00,32.1,36.7,27.6,1001.7,72,0,1.9,8.7,14.8,
24-july-2015-00:00,25-july-2015-00:00,32,36.5,27.8,1000.9,71,0,1.9,6.7,14.8,
25-july-2015-00:00,26-july-2015-00:00,31.3,36.5,27.3,999.3,73,0,2.7,8.7,14.8,
26-july-2015-00:00,27-july-2015-00:00,30,36.6,27,998.8,76,6.1,2.6,16.9,25.9,
27-july-2015-00:00,28-july-2015-00:00,29.7,34.7,24.6,1000.2,74,4.06,2.7,11.3,18.3,
28-july-2015-00:00,29-july-2015-00:00,29.5,34.7,24.5,1000.1,68,0.25,2.6,11.5,18.3,
29-july-2015-00:00,30-july-2015-00:00,28.6,34.1,24.2,997.9,75,0,1.9,10.9,18.3,
30-july-2015-00:00,31-july-2015-00:00,29,32,25.2,998.8,74,0,1.9,10,14.8,
31-july-2015-00:00,32-july-2015-00:00,28.9,31.6,25,999.7,77,0.51,1.9,4.1,14.8,
1-aug-2015-00:00,2-aug-2015-00:00,28.4,32.6,25.4,1002.7,77,2.03,1.9,0.9,7.6,
2-aug-2015-00:00,3-aug-2015-00:00,29.8,33.9,25,1003.5,75,0.25,1.9,2.6,7.6,
3-aug-2015-00:00,4-aug-2015-00:00,31.6,35.5,25.4,1001.9,63,0,1.9,5.4,11.1,
4-aug-2015-00:00,5-aug-2015-00:00,31.2,36.8,26,999.6,73,-,1.9,1.9,9.4,
5-aug-2015-00:00,6-aug-2015-00:00,29.9,36.8,26.5,998.5,82,0.25,1.9,3.7,11.1,
6-aug-2015-00:00,7-aug-2015-00:00,29.8,35.1,25.5,998.2,83,14.99,1.8,3,5.4,
7-aug-2015-00:00,8-aug-2015-00:00,29.4,34.4,26.4,999.9,86,0,1.8,2.2,14.8,
8-aug-2015-00:00,9-aug-2015-00:00,28.8,34.4,25.3,1001.7,88,16,1.6,1.7,7.6,
9-aug-2015-00:00,10-aug-2015-00:00,27.5,30.8,25,1000.2,92,29.97,1.3,3,7.6,
10-aug-2015-00:00,11-aug-2015-00:00,30.6,34.7,25.5,999.9,81,40.89,1.8,0,-,
11-aug-2015-00:00,12-aug-2015-00:00,28.4,34.6,26.4,1003,90,99.31,1.4,0.4,3.5,
12-aug-2015-00:00,13-aug-2015-00:00,30.5,35.5,26.5,1003.2,79,0,1.6,0,-,
13-aug-2015-00:00,14-aug-2015-00:00,31.9,35.8,28,1001.8,75,0,1.9,0.4,3.5,
