From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
21-Jun-2015 - 00:00,22-Jun-2015 - 00:00,123.0,72.15,2.05,45.41,77.95,29.26,13.76,138,2
22-Jun-2015 - 00:00,23-Jun-2015 - 00:00,233.9,129.04,1.0,41.13,64.11,47.1,12.16,307,4
23-Jun-2015 - 00:00,24-Jun-2015 - 00:00,369.68,165.92,1.25,32.43,85.76,57.93,17.61,334,4
24-Jun-2015 - 00:00,25-Jun-2015 - 00:00,322.4,143.73,1.19,87.63,95.14,94.7,17.97,317,4
25-Jun-2015 - 00:00,26-Jun-2015 - 00:00,98.28,50.37,1.22,45.67,70.21,62.6,14.6,98,1
26-Jun-2015 - 00:00,27-Jun-2015 - 00:00,374.62,101.42,0.96,48.46,82.27,73.94,13.26,329,4
27-Jun-2015 - 00:00,28-Jun-2015 - 00:00,391.91,78.54,1.09,45.08,78.75,55.61,13.35,351,4
28-Jun-2015 - 00:00,29-Jun-2015 - 00:00,413.58,97.29,0.99,48.58,77.16,52.59,13.39,378,4
29-Jun-2015 - 00:00,30-Jun-2015 - 00:00,130.22,49.77,0.89,44.18,48.11,72.45,11.8,120,2
30-Jun-2015 - 00:00,01-Jul-2015 - 00:00,178.4,67.12,0.85,38.37,60.59,75.6,12.61,152,2
01-Jul-2015 - 00:00,02-Jul-2015 - 00:00,229.75,67.16,0.87,32.3,63.47,88.75,22.92,186,2
02-Jul-2015 - 00:00,03-Jul-2015 - 00:00,358.3,99.74,1.09,35.41,88.36,70.91,11.64,309,4
03-Jul-2015 - 00:00,04-Jul-2015 - 00:00,406.32,74.26,0.84,30.83,77.45,58.05,12.83,369,4
04-Jul-2015 - 00:00,05-Jul-2015 - 00:00,330.62,77.0,0.81,29.17,62.03,56.85,11.44,280,3
05-Jul-2015 - 00:00,06-Jul-2015 - 00:00,698.4,158.21,0.87,27.8,73.17,65.15,11.69,500,4
06-Jul-2015 - 00:00,07-Jul-2015 - 00:00,176.52,50.1,0.66,31.07,43.81,75.2,8.79,150,2
07-Jul-2015 - 00:00,08-Jul-2015 - 00:00,110.06,58.62,1.16,32.65,58.26,69.86,13.3,106,2
08-Jul-2015 - 00:00,09-Jul-2015 - 00:00,202.67,67.77,0.73,39.4,50.29,39.54,7.89,168,2
09-Jul-2015 - 00:00,10-Jul-2015 - 00:00,220.5,67.4,1.24,43.61,68.95,16.48,8.54,180,2
10-Jul-2015 - 00:00,11-Jul-2015 - 00:00,156.02,59.24,1.05,47.22,47.78,26.7,10.71,137,2
11-Jul-2015 - 00:00,12-Jul-2015 - 00:00,55.62,23.0,0.43,36.51,36.65,48.54,5.99,55,1
12-Jul-2015 - 00:00,13-Jul-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
13-Jul-2015 - 00:00,14-Jul-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
14-Jul-2015 - 00:00,15-Jul-2015 - 00:00,589.56,63.87,1.17,75.81,75.05,11.81,21.41,500,4
15-Jul-2015 - 00:00,16-Jul-2015 - 00:00,562.32,79.62,0.97,62.19,60.56,9.29,35.65,500,4
16-Jul-2015 - 00:00,17-Jul-2015 - 00:00,466.14,81.78,0.71,51.55,55.21,28.84,19.87,500,4
17-Jul-2015 - 00:00,18-Jul-2015 - 00:00,242.53,87.48,1.57,53.89,45.83,20.65,47.78,194,2
18-Jul-2015 - 00:00,19-Jul-2015 - 00:00,315.08,86.36,0.57,50.65,54.55,34.94,21.08,265,3
19-Jul-2015 - 00:00,20-Jul-2015 - 00:00,322.71,87.15,0.33,50.8,57.84,27.03,21.0,272,3
20-Jul-2015 - 00:00,21-Jul-2015 - 00:00,238.86,54.02,1.51,79.65,66.22,16.64,13.06,192,2
21-Jul-2015 - 00:00,22-Jul-2015 - 00:00,130.03,38.72,0.61,58.49,43.41,18.03,60.33,120,2
22-Jul-2015 - 00:00,23-Jul-2015 - 00:00,154.86,44.88,0.62,51.2,38.64,11.25,43.8,136,2
23-Jul-2015 - 00:00,24-Jul-2015 - 00:00,134.26,41.03,0.85,41.53,35.83,12.18,28.14,122,2
24-Jul-2015 - 00:00,25-Jul-2015 - 00:00,160.79,56.22,0.81,37.91,40.29,11.02,27.88,140,2
25-Jul-2015 - 00:00,26-Jul-2015 - 00:00,162.13,51.5,0.78,37.19,39.54,10.74,28.74,141,2
26-Jul-2015 - 00:00,27-Jul-2015 - 00:00,185.06,30.16,0.7,32.3,32.34,12.26,27.73,156,2
27-Jul-2015 - 00:00,28-Jul-2015 - 00:00,101.29,21.75,0.71,33.04,32.38,13.38,32.69,101,2
28-Jul-2015 - 00:00,29-Jul-2015 - 00:00,95.38,19.91,0.6,38.93,33.05,14.43,22.11,95,1
29-Jul-2015 - 00:00,30-Jul-2015 - 00:00,107.93,15.29,0.4,39.48,36.46,13.31,15.85,104,2
30-Jul-2015 - 00:00,31-Jul-2015 - 00:00,160.26,23.39,0.57,35.69,37.77,12.07,15.72,140,2
31-Jul-2015 - 00:00,01-Aug-2015 - 00:00,310.16,48.81,0.6,30.31,46.97,10.3,13.48,260,3
01-Aug-2015 - 00:00,02-Aug-2015 - 00:00,305.7,52.98,0.62,27.55,47.22,11.46,14.36,255,3
02-Aug-2015 - 00:00,03-Aug-2015 - 00:00,303.35,64.22,0.62,31.5,47.6,20.77,14.57,253,3
03-Aug-2015 - 00:00,04-Aug-2015 - 00:00,390.33,99.29,0.9,49.76,66.55,26.06,11.11,349,4
04-Aug-2015 - 00:00,05-Aug-2015 - 00:00,316.75,80.51,2.24,36.39,65.65,67.74,13.64,266,3
05-Aug-2015 - 00:00,06-Aug-2015 - 00:00,206.47,72.57,0.88,50.13,51.09,43.85,15.76,170,2
06-Aug-2015 - 00:00,07-Aug-2015 - 00:00,339.48,95.03,1.59,40.66,39.55,65.01,14.57,289,3
07-Aug-2015 - 00:00,08-Aug-2015 - 00:00,369.47,77.88,1.72,45.21,46.09,43.41,12.9,323,4
08-Aug-2015 - 00:00,09-Aug-2015 - 00:00,286.03,85.66,2.2,50.11,43.66,50.83,12.53,236,3
09-Aug-2015 - 00:00,10-Aug-2015 - 00:00,236.83,60.95,1.86,37.27,42.09,18.7,10.53,190,2
10-Aug-2015 - 00:00,11-Aug-2015 - 00:00,345.82,123.26,1.85,39.77,37.71,48.11,11.26,302,4
