From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
29-Nov-2015 - 00:00,30-Nov-2015 - 00:00,919.88,370.93,3.05,97.81,89.22,25.34,26.61,500,4
30-Nov-2015 - 00:00,01-Dec-2015 - 00:00,872.77,449.01,2.59,115.58,108.67,55.91,17.75,500,4
01-Dec-2015 - 00:00,02-Dec-2015 - 00:00,630.44,259.23,2.0,94.62,87.9,14.14,13.08,500,4
02-Dec-2015 - 00:00,03-Dec-2015 - 00:00,704.64,228.01,1.64,77.68,95.33,14.72,15.45,500,4
03-Dec-2015 - 00:00,04-Dec-2015 - 00:00,741.97,271.6,2.04,90.83,114.62,14.62,16.83,500,4
04-Dec-2015 - 00:00,05-Dec-2015 - 00:00,886.04,287.07,3.07,72.81,127.53,21.5,14.58,500,4
05-Dec-2015 - 00:00,06-Dec-2015 - 00:00,919.24,349.46,3.28,109.24,164.38,38.32,23.17,500,4
06-Dec-2015 - 00:00,07-Dec-2015 - 00:00,722.27,283.32,2.53,108.63,109.55,30.37,22.54,500,4
07-Dec-2015 - 00:00,08-Dec-2015 - 00:00,782.2,362.2,3.03,263.43,278.1,30.79,15.23,500,4
08-Dec-2015 - 00:00,09-Dec-2015 - 00:00,1020.09,476.98,2.87,318.16,309.38,47.4,17.18,500,4
09-Dec-2015 - 00:00,10-Dec-2015 - 00:00,718.43,353.83,2.29,114.52,96.77,34.61,16.65,500,4
10-Dec-2015 - 00:00,11-Dec-2015 - 00:00,517.5,272.01,2.13,76.65,87.47,25.18,25.8,500,4
11-Dec-2015 - 00:00,12-Dec-2015 - 00:00,607.48,270.11,1.52,79.51,87.91,15.01,18.36,500,4
12-Dec-2015 - 00:00,13-Dec-2015 - 00:00,605.31,268.74,1.59,80.5,80.13,11.81,12.42,500,4
13-Dec-2015 - 00:00,14-Dec-2015 - 00:00,660.61,213.81,2.06,58.22,104.05,16.21,16.69,500,4
14-Dec-2015 - 00:00,15-Dec-2015 - 00:00,622.33,193.17,1.31,59.35,92.27,12.31,13.92,500,4
15-Dec-2015 - 00:00,16-Dec-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
16-Dec-2015 - 00:00,17-Dec-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
17-Dec-2015 - 00:00,18-Dec-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
18-Dec-2015 - 00:00,19-Dec-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
19-Dec-2015 - 00:00,20-Dec-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
20-Dec-2015 - 00:00,21-Dec-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
21-Dec-2015 - 00:00,22-Dec-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
22-Dec-2015 - 00:00,23-Dec-2015 - 00:00,853.0,463.21,6.89,106.48,128.16,21.1,28.09,500,4
23-Dec-2015 - 00:00,24-Dec-2015 - 00:00,870.97,478.01,2.71,143.77,136.87,13.42,14.86,500,4
24-Dec-2015 - 00:00,25-Dec-2015 - 00:00,587.54,199.0,2.53,71.15,105.12,20.76,23.1,500,4
25-Dec-2015 - 00:00,26-Dec-2015 - 00:00,569.7,188.87,2.24,80.38,107.21,16.13,23.27,500,4
26-Dec-2015 - 00:00,27-Dec-2015 - 00:00,525.95,209.67,2.28,80.05,118.81,18.34,25.93,500,4
27-Dec-2015 - 00:00,28-Dec-2015 - 00:00,565.34,215.43,1.79,91.74,122.32,16.99,18.98,500,4
28-Dec-2015 - 00:00,29-Dec-2015 - 00:00,520.28,202.83,2.1,89.84,114.23,20.78,16.82,500,4
29-Dec-2015 - 00:00,30-Dec-2015 - 00:00,598.61,194.0,1.87,89.31,113.01,18.46,18.98,500,4
30-Dec-2015 - 00:00,31-Dec-2015 - 00:00,820.84,287.57,2.31,124.78,125.26,13.66,18.11,500,4
31-Dec-2015 - 00:00,01-Jan-2016 - 00:00,680.67,293.47,2.8,113.94,118.59,13.76,22.63,500,4
01-Jan-2016 - 00:00,02-Jan-2016 - 00:00,750.91,360.81,3.13,120.09,135.81,14.74,33.15,500,4
02-Jan-2016 - 00:00,03-Jan-2016 - 00:00,616.04,327.92,2.35,97.91,111.45,18.88,39.72,500,4
03-Jan-2016 - 00:00,04-Jan-2016 - 00:00,651.71,341.32,2.57,99.63,129.56,15.67,22.83,500,4
04-Jan-2016 - 00:00,05-Jan-2016 - 00:00,692.4,480.07,3.23,127.53,149.34,30.63,31.46,500,4
05-Jan-2016 - 00:00,06-Jan-2016 - 00:00,847.84,433.35,3.58,134.52,136.74,32.07,38.65,500,4
06-Jan-2016 - 00:00,07-Jan-2016 - 00:00,736.17,371.8,3.19,138.08,114.73,29.24,33.73,500,4
07-Jan-2016 - 00:00,08-Jan-2016 - 00:00,743.11,468.02,3.39,151.45,112.2,27.8,34.02,500,4
08-Jan-2016 - 00:00,09-Jan-2016 - 00:00,727.23,519.59,1.54,143.22,95.4,12.01,13.86,500,4
09-Jan-2016 - 00:00,10-Jan-2016 - 00:00,480.58,169.49,2.2,72.47,85.53,14.09,16.1,500,4
10-Jan-2016 - 00:00,11-Jan-2016 - 00:00,520.17,281.57,2.37,86.56,108.87,15.28,18.42,500,4
11-Jan-2016 - 00:00,12-Jan-2016 - 00:00,681.95,413.43,3.13,106.97,125.43,46.76,22.66,500,4
12-Jan-2016 - 00:00,13-Jan-2016 - 00:00,565.3,286.47,1.87,103.39,93.23,28.45,26.77,500,4
13-Jan-2016 - 00:00,14-Jan-2016 - 00:00,510.53,313.12,1.67,94.94,81.97,14.99,16.84,500,4
14-Jan-2016 - 00:00,15-Jan-2016 - 00:00,479.88,259.66,1.83,83.53,69.38,10.68,13.94,500,4
15-Jan-2016 - 00:00,16-Jan-2016 - 00:00,345.29,182.75,1.22,71.41,59.21,10.86,13.33,347,4
16-Jan-2016 - 00:00,17-Jan-2016 - 00:00,298.58,143.24,0.89,58.37,60.58,13.6,15.52,317,4
17-Jan-2016 - 00:00,18-Jan-2016 - 00:00,387.12,200.17,1.3,54.25,69.04,15.08,20.76,361,4
18-Jan-2016 - 00:00,19-Jan-2016 - 00:00,667.74,338.49,1.83,75.37,98.4,14.04,17.06,500,4
19-Jan-2016 - 00:00,20-Jan-2016 - 00:00,566.42,322.07,1.38,74.61,67.53,9.67,13.02,500,4
20-Jan-2016 - 00:00,21-Jan-2016 - 00:00,534.76,307.6,1.12,60.87,73.97,10.6,12.49,500,4
21-Jan-2016 - 00:00,22-Jan-2016 - 00:00,422.13,234.43,1.06,51.28,69.92,11.65,13.32,389,4
22-Jan-2016 - 00:00,23-Jan-2016 - 00:00,467.76,301.62,0.76,62.67,73.79,13.47,15.75,500,4
23-Jan-2016 - 00:00,24-Jan-2016 - 00:00,551.53,361.85,1.51,76.44,68.23,15.65,16.98,500,4
24-Jan-2016 - 00:00,25-Jan-2016 - 00:00,585.28,388.78,1.23,51.99,82.32,10.72,24.06,500,4
25-Jan-2016 - 00:00,26-Jan-2016 - 00:00,509.35,276.25,1.17,103.22,111.58,10.79,14.91,500,4
26-Jan-2016 - 00:00,27-Jan-2016 - 00:00,569.99,376.13,1.33,87.35,79.47,12.55,21.02,500,4
27-Jan-2016 - 00:00,28-Jan-2016 - 00:00,533.48,332.5,1.7,94.26,98.27,15.12,18.54,500,4
28-Jan-2016 - 00:00,29-Jan-2016 - 00:00,650.67,351.51,1.92,88.08,121.51,10.47,16.33,500,4
29-Jan-2016 - 00:00,30-Jan-2016 - 00:00,765.35,392.75,2.23,106.69,124.4,10.6,16.4,500,4
30-Jan-2016 - 00:00,31-Jan-2016 - 00:00,573.03,348.4,2.41,124.06,116.92,22.04,20.69,500,4
31-Jan-2016 - 00:00,01-Feb-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-Feb-2016 - 00:00,02-Feb-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
02-Feb-2016 - 00:00,03-Feb-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
03-Feb-2016 - 00:00,04-Feb-2016 - 00:00,275.7,113.95,1.91,35.25,98.65,12.04,21.82,276,3
04-Feb-2016 - 00:00,05-Feb-2016 - 00:00,372.2,144.67,1.79,34.63,98.84,31.0,22.09,327,4
05-Feb-2016 - 00:00,06-Feb-2016 - 00:00,448.6,262.94,2.39,44.69,116.8,26.86,26.55,500,4
06-Feb-2016 - 00:00,07-Feb-2016 - 00:00,483.96,416.39,2.84,72.32,100.76,23.8,33.53,500,4
07-Feb-2016 - 00:00,08-Feb-2016 - 00:00,254.58,168.67,0.96,71.79,60.87,16.84,27.58,337,4
08-Feb-2016 - 00:00,09-Feb-2016 - 00:00,214.62,117.7,1.39,60.84,74.26,17.7,22.73,289,3
09-Feb-2016 - 00:00,10-Feb-2016 - 00:00,275.99,172.17,1.84,65.8,100.26,21.71,21.67,340,4
10-Feb-2016 - 00:00,11-Feb-2016 - 00:00,315.18,260.17,2.61,80.93,125.08,15.31,22.49,500,4
11-Feb-2016 - 00:00,12-Feb-2016 - 00:00,288.25,218.93,2.29,75.89,91.28,23.27,29.69,375,4
12-Feb-2016 - 00:00,13-Feb-2016 - 00:00,334.17,193.58,1.91,61.47,88.13,23.33,63.04,356,4
13-Feb-2016 - 00:00,14-Feb-2016 - 00:00,320.35,147.24,1.47,51.04,65.2,16.97,47.04,320,4
14-Feb-2016 - 00:00,15-Feb-2016 - 00:00,218.94,89.88,1.59,46.48,82.98,20.89,24.18,196,2
15-Feb-2016 - 00:00,16-Feb-2016 - 00:00,202.04,123.71,2.06,47.67,76.28,19.62,32.77,302,4
16-Feb-2016 - 00:00,17-Feb-2016 - 00:00,179.63,139.89,1.79,41.95,77.03,17.05,26.01,314,4
17-Feb-2016 - 00:00,18-Feb-2016 - 00:00,212.35,131.88,1.68,47.51,90.5,19.11,31.6,308,4
18-Feb-2016 - 00:00,19-Feb-2016 - 00:00,200.73,160.49,1.49,77.34,79.03,9.25,24.68,330,4
19-Feb-2016 - 00:00,20-Feb-2016 - 00:00,294.32,211.15,2.68,97.43,82.58,8.9,27.42,370,4
20-Feb-2016 - 00:00,21-Feb-2016 - 00:00,277.04,192.44,1.96,117.45,79.42,13.38,22.26,355,4
21-Feb-2016 - 00:00,22-Feb-2016 - 00:00,268.11,69.52,1.48,41.01,55.13,47.7,17.39,218,3
22-Feb-2016 - 00:00,23-Feb-2016 - 00:00,121.13,96.64,1.34,35.97,49.34,47.84,19.75,218,3
23-Feb-2016 - 00:00,24-Feb-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
24-Feb-2016 - 00:00,25-Feb-2016 - 00:00,351.67,79.0,1.1,62.11,123.49,5.08,12.16,301,4
25-Feb-2016 - 00:00,26-Feb-2016 - 00:00,286.64,166.81,1.15,66.05,79.33,66.33,27.14,335,4
26-Feb-2016 - 00:00,27-Feb-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
27-Feb-2016 - 00:00,28-Feb-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
28-Feb-2016 - 00:00,29-Feb-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
29-Feb-2016 - 00:00,01-Mar-2016 - 00:00,392.86,161.77,2.32,75.21,96.26,35.27,23.95,352,4
01-Mar-2016 - 00:00,02-Mar-2016 - 00:00,409.0,354.19,3.28,87.99,118.92,23.66,52.55,500,4
02-Mar-2016 - 00:00,03-Mar-2016 - 00:00,516.12,295.66,1.28,71.82,131.71,14.16,31.01,500,4
03-Mar-2016 - 00:00,04-Mar-2016 - 00:00,293.66,212.29,1.84,78.45,96.4,23.43,44.54,370,4
04-Mar-2016 - 00:00,05-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
05-Mar-2016 - 00:00,06-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
06-Mar-2016 - 00:00,07-Mar-2016 - 00:00,164.73,104.93,0.9,79.24,49.82,12.79,34.85,245,3
07-Mar-2016 - 00:00,08-Mar-2016 - 00:00,191.1,120.99,1.48,71.66,65.36,17.21,18.33,300,3
08-Mar-2016 - 00:00,09-Mar-2016 - 00:00,165.6,80.18,1.44,51.55,63.55,20.63,16.48,165,2
09-Mar-2016 - 00:00,10-Mar-2016 - 00:00,291.04,87.8,0.77,47.73,93.44,37.66,17.88,241,3
10-Mar-2016 - 00:00,11-Mar-2016 - 00:00,425.53,235.62,1.6,66.38,108.77,17.05,15.58,393,4
11-Mar-2016 - 00:00,12-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
12-Mar-2016 - 00:00,13-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
13-Mar-2016 - 00:00,14-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
14-Mar-2016 - 00:00,15-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
15-Mar-2016 - 00:00,16-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
16-Mar-2016 - 00:00,17-Mar-2016 - 00:00,273.55,62.29,2.35,40.14,81.61,33.76,15.95,223,3
17-Mar-2016 - 00:00,18-Mar-2016 - 00:00,193.1,92.01,1.09,43.99,72.77,43.5,26.86,204,3
18-Mar-2016 - 00:00,19-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
19-Mar-2016 - 00:00,20-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
20-Mar-2016 - 00:00,21-Mar-2016 - 00:00,240.03,83.55,1.3,73.34,74.63,30.75,33.97,193,2
21-Mar-2016 - 00:00,22-Mar-2016 - 00:00,209.79,66.11,1.66,45.55,49.49,29.68,24.64,172,2
22-Mar-2016 - 00:00,23-Mar-2016 - 00:00,308.58,46.74,1.09,23.43,38.68,75.32,18.11,258,3
23-Mar-2016 - 00:00,24-Mar-2016 - 00:00,260.3,58.74,1.44,26.94,82.32,43.81,20.8,210,3
24-Mar-2016 - 00:00,25-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
25-Mar-2016 - 00:00,26-Mar-2016 - 00:00,282.93,85.84,1.98,93.2,47.13,26.02,44.04,232,3
26-Mar-2016 - 00:00,27-Mar-2016 - 00:00,226.03,49.98,1.62,48.34,66.41,13.13,24.07,184,2
27-Mar-2016 - 00:00,28-Mar-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
28-Mar-2016 - 00:00,29-Mar-2016 - 00:00,203.17,55.29,1.71,30.59,80.36,27.9,20.16,168,2
29-Mar-2016 - 00:00,30-Mar-2016 - 00:00,236.84,116.0,1.9,37.78,80.43,17.02,20.35,286,3
30-Mar-2016 - 00:00,31-Mar-2016 - 00:00,223.15,66.17,1.39,41.93,100.54,29.44,20.23,182,2
31-Mar-2016 - 00:00,01-Apr-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-Apr-2016 - 00:00,02-Apr-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
02-Apr-2016 - 00:00,03-Apr-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
03-Apr-2016 - 00:00,04-Apr-2016 - 00:00,331.83,130.57,2.01,73.92,100.3,18.94,42.96,307,4
04-Apr-2016 - 00:00,05-Apr-2016 - 00:00,504.46,185.15,2.01,74.77,86.16,19.14,20.54,500,4
05-Apr-2016 - 00:00,06-Apr-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
06-Apr-2016 - 00:00,07-Apr-2016 - 00:00,227.25,73.53,2.01,40.32,87.08,37.23,18.98,184,2
07-Apr-2016 - 00:00,08-Apr-2016 - 00:00,376.15,145.41,0.44,57.81,86.51,17.67,28.25,332,4
08-Apr-2016 - 00:00,09-Apr-2016 - 00:00,225.77,107.12,1.97,36.27,76.9,23.36,80.25,255,3
09-Apr-2016 - 00:00,10-Apr-2016 - 00:00,301.61,275.11,1.96,37.95,97.76,26.85,95.22,500,4
10-Apr-2016 - 00:00,11-Apr-2016 - 00:00,172.33,179.78,2.9,43.4,78.46,22.85,39.87,345,4
11-Apr-2016 - 00:00,12-Apr-2016 - 00:00,294.51,69.18,1.07,53.87,50.98,18.85,30.06,244,3
12-Apr-2016 - 00:00,13-Apr-2016 - 00:00,299.65,55.28,1.05,36.73,64.48,23.76,18.04,249,3
13-Apr-2016 - 00:00,14-Apr-2016 - 00:00,330.14,65.36,1.72,31.36,73.55,24.72,26.27,280,3
14-Apr-2016 - 00:00,15-Apr-2016 - 00:00,304.19,116.47,1.98,31.31,96.89,24.42,25.27,286,3
15-Apr-2016 - 00:00,16-Apr-2016 - 00:00,412.73,215.29,1.84,52.98,112.07,22.15,28.7,377,4
16-Apr-2016 - 00:00,17-Apr-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
17-Apr-2016 - 00:00,18-Apr-2016 - 00:00,403.63,132.14,2.08,48.28,97.36,24.385,16.66,366,4
18-Apr-2016 - 00:00,19-Apr-2016 - 00:00,342.39,121.37,1.22,51.46,78.94,10.86,23.45,301,4
19-Apr-2016 - 00:00,20-Apr-2016 - 00:00,380.12,153.45,1.44,45.26,86.26,15.62,38.38,337,4
20-Apr-2016 - 00:00,21-Apr-2016 - 00:00,432.05,131.44,1.0,39.79,83.06,17.77,34.1,500,4
21-Apr-2016 - 00:00,22-Apr-2016 - 00:00,405.99,75.79,1.25,36.02,66.22,31.03,22.18,368,4
22-Apr-2016 - 00:00,23-Apr-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
23-Apr-2016 - 00:00,24-Apr-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
24-Apr-2016 - 00:00,25-Apr-2016 - 00:00,292.67,39.13,0.53,24.7,69.19,120.77,10.52,242,3
25-Apr-2016 - 00:00,26-Apr-2016 - 00:00,392.84,118.55,1.96,35.82,140.84,62.93,56.65,352,4
26-Apr-2016 - 00:00,27-Apr-2016 - 00:00,526.9,212.23,1.6,63.4,140.55,54.93,50.65,500,4
27-Apr-2016 - 00:00,28-Apr-2016 - 00:00,811.95,309.9,3.68,90.75,171.77,60.53,56.36,500,4
28-Apr-2016 - 00:00,29-Apr-2016 - 00:00,580.17,263.81,2.2,69.12,125.6,46.48,45.84,500,4
29-Apr-2016 - 00:00,30-Apr-2016 - 00:00,645.28,242.55,3.11,47.75,134.65,44.33,48.05,500,4
30-Apr-2016 - 00:00,01-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-May-2016 - 00:00,02-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
02-May-2016 - 00:00,03-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
03-May-2016 - 00:00,04-May-2016 - 00:00,492.94,163.79,2.36,86.98,89.73,27.55,44.6,500,4
04-May-2016 - 00:00,05-May-2016 - 00:00,428.26,96.97,2.15,72.95,69.89,13.68,23.51,397,4
05-May-2016 - 00:00,06-May-2016 - 00:00,350.81,60.68,1.89,65.0,56.07,15.26,14.24,300,3
06-May-2016 - 00:00,07-May-2016 - 00:00,302.13,64.67,1.73,45.87,79.43,16.54,19.07,252,3
07-May-2016 - 00:00,08-May-2016 - 00:00,403.56,107.0,0.78,60.08,92.11,27.46,23.5,366,4
08-May-2016 - 00:00,09-May-2016 - 00:00,356.1,95.79,0.65,61.79,60.64,22.84,16.52,307,4
09-May-2016 - 00:00,10-May-2016 - 00:00,279.06,77.05,0.73,69.85,45.54,23.51,12.44,229,3
10-May-2016 - 00:00,11-May-2016 - 00:00,330.21,76.78,1.12,54.49,56.74,21.31,8.57,280,3
11-May-2016 - 00:00,12-May-2016 - 00:00,191.9,64.33,0.91,89.94,65.37,26.43,6.69,160,2
12-May-2016 - 00:00,13-May-2016 - 00:00,491.02,115.28,1.64,113.91,95.99,27.71,7.04,500,4
13-May-2016 - 00:00,14-May-2016 - 00:00,528.59,130.14,1.37,104.7,91.87,41.01,8.23,500,4
14-May-2016 - 00:00,15-May-2016 - 00:00,498.35,140.07,2.07,97.65,96.61,39.6,12.4,500,4
15-May-2016 - 00:00,16-May-2016 - 00:00,563.32,140.59,0.93,92.04,87.45,38.49,22.27,500,4
16-May-2016 - 00:00,17-May-2016 - 00:00,522.51,120.1,0.88,57.92,98.49,23.56,19.89,500,4
17-May-2016 - 00:00,18-May-2016 - 00:00,510.11,89.42,1.15,56.23,84.05,29.81,10.9,500,4
18-May-2016 - 00:00,19-May-2016 - 00:00,521.83,120.38,2.22,50.97,108.93,60.39,18.84,500,4
19-May-2016 - 00:00,20-May-2016 - 00:00,349.35,86.54,1.23,86.94,57.53,22.24,13.43,299,3
20-May-2016 - 00:00,21-May-2016 - 00:00,299.42,68.28,0.83,76.31,46.29,23.23,5.26,249,3
21-May-2016 - 00:00,22-May-2016 - 00:00,421.31,64.06,0.76,66.13,32.65,23.14,6.33,388,4
22-May-2016 - 00:00,23-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
23-May-2016 - 00:00,24-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
24-May-2016 - 00:00,25-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
25-May-2016 - 00:00,26-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
26-May-2016 - 00:00,27-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
27-May-2016 - 00:00,28-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
28-May-2016 - 00:00,29-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
29-May-2016 - 00:00,30-May-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
30-May-2016 - 00:00,31-May-2016 - 00:00,284.26,98.41,1.16,63.65,74.64,34.63,7.18,234,3
31-May-2016 - 00:00,01-Jun-2016 - 00:00,455.09,136.63,1.38,65.7,78.46,28.88,8.34,500,4
01-Jun-2016 - 00:00,02-Jun-2016 - 00:00,601.38,121.56,1.22,46.76,71.96,42.02,9.69,500,4
02-Jun-2016 - 00:00,03-Jun-2016 - 00:00,672.2,129.37,1.36,54.11,78.2,37.06,6.14,500,4
03-Jun-2016 - 00:00,04-Jun-2016 - 00:00,570.93,246.9,1.86,76.72,97.96,74.84,15.03,500,4
04-Jun-2016 - 00:00,05-Jun-2016 - 00:00,485.6,275.86,1.09,70.06,79.11,67.01,6.91,500,4
05-Jun-2016 - 00:00,06-Jun-2016 - 00:00,276.32,100.78,0.69,89.16,33.41,27.1,6.72,231,3
06-Jun-2016 - 00:00,07-Jun-2016 - 00:00,319.73,132.36,1.51,43.13,51.33,28.8,16.33,309,4
07-Jun-2016 - 00:00,08-Jun-2016 - 00:00,284.59,97.51,1.11,40.71,52.51,28.73,10.45,234,3
08-Jun-2016 - 00:00,09-Jun-2016 - 00:00,235.55,78.25,1.46,40.85,59.08,17.4,13.4,190,2
09-Jun-2016 - 00:00,10-Jun-2016 - 00:00,297.76,77.07,1.05,45.26,55.89,26.56,9.89,247,3
10-Jun-2016 - 00:00,11-Jun-2016 - 00:00,408.48,87.75,0.67,36.56,63.84,17.23,9.68,372,4
11-Jun-2016 - 00:00,12-Jun-2016 - 00:00,512.21,98.74,1.33,57.63,72.31,27.27,13.91,500,4
12-Jun-2016 - 00:00,13-Jun-2016 - 00:00,683.49,109.66,1.32,49.69,74.33,17.9,7.71,500,4
13-Jun-2016 - 00:00,14-Jun-2016 - 00:00,588.28,115.32,0.9,51.61,62.69,18.03,10.05,500,4
14-Jun-2016 - 00:00,15-Jun-2016 - 00:00,416.16,72.41,1.46,54.32,59.5,17.78,6.55,382,4
15-Jun-2016 - 00:00,16-Jun-2016 - 00:00,513.0,110.91,0.72,71.01,53.97,15.42,11.05,500,4
16-Jun-2016 - 00:00,17-Jun-2016 - 00:00,161.61,48.04,1.21,50.59,38.17,21.06,6.63,140,2
17-Jun-2016 - 00:00,18-Jun-2016 - 00:00,202.82,62.18,0.96,52.42,59.95,29.08,17.34,168,2
18-Jun-2016 - 00:00,19-Jun-2016 - 00:00,201.84,59.34,0.94,50.91,36.24,17.13,5.08,167,2
19-Jun-2016 - 00:00,20-Jun-2016 - 00:00,162.6,58.83,0.88,82.61,45.74,6.8,13.4,141,2
20-Jun-2016 - 00:00,21-Jun-2016 - 00:00,134.86,53.49,1.06,48.17,50.7,8.65,18.87,122,2
21-Jun-2016 - 00:00,22-Jun-2016 - 00:00,94.65,44.48,0.84,44.06,43.37,9.53,18.58,94,1
22-Jun-2016 - 00:00,23-Jun-2016 - 00:00,176.55,55.59,1.39,41.53,45.43,22.81,9.03,150,2
23-Jun-2016 - 00:00,24-Jun-2016 - 00:00,210.1,72.27,1.27,36.87,74.66,19.71,9.95,173,2
24-Jun-2016 - 00:00,25-Jun-2016 - 00:00,640.76,123.26,1.17,46.34,71.28,24.35,8.92,500,4
25-Jun-2016 - 00:00,26-Jun-2016 - 00:00,227.13,81.73,0.98,65.59,37.59,14.72,8.71,184,2
26-Jun-2016 - 00:00,27-Jun-2016 - 00:00,150.69,64.9,0.93,48.87,33.89,14.6,11.39,133,2
27-Jun-2016 - 00:00,28-Jun-2016 - 00:00,166.18,64.22,1.12,46.2,40.99,14.57,8.76,144,2
28-Jun-2016 - 00:00,29-Jun-2016 - 00:00,168.94,54.3,1.19,44.2,56.55,36.82,9.6,145,2
29-Jun-2016 - 00:00,30-Jun-2016 - 00:00,95.01,37.35,1.29,45.32,43.92,16.26,12.57,95,1
30-Jun-2016 - 00:00,01-Jul-2016 - 00:00,185.6,53.72,1.06,53.27,49.47,15.95,8.88,156,2
01-Jul-2016 - 00:00,02-Jul-2016 - 00:00,214.34,56.7,1.46,69.26,54.96,12.2,8.8,176,2
02-Jul-2016 - 00:00,03-Jul-2016 - 00:00,210.51,46.53,1.16,54.67,63.77,34.46,9.19,173,2
03-Jul-2016 - 00:00,04-Jul-2016 - 00:00,143.27,67.03,1.21,53.97,58.56,32.9,12.03,128,2
04-Jul-2016 - 00:00,05-Jul-2016 - 00:00,139.39,51.79,1.25,54.5,60.44,44.53,14.44,126,2
05-Jul-2016 - 00:00,06-Jul-2016 - 00:00,371.31,89.24,1.74,82.47,77.98,22.93,12.92,326,4
06-Jul-2016 - 00:00,07-Jul-2016 - 00:00,221.31,68.28,1.64,86.98,46.08,16.3,30.5,180,2
07-Jul-2016 - 00:00,08-Jul-2016 - 00:00,119.86,34.55,1.21,59.24,37.82,14.21,21.69,112,2
08-Jul-2016 - 00:00,09-Jul-2016 - 00:00,136.37,47.45,1.53,71.97,50.58,12.91,8.3,124,2
09-Jul-2016 - 00:00,10-Jul-2016 - 00:00,143.87,41.35,1.33,64.34,37.17,13.87,9.0,128,2
10-Jul-2016 - 00:00,11-Jul-2016 - 00:00,160.64,56.45,1.32,64.17,56.17,12.68,9.11,140,2
11-Jul-2016 - 00:00,12-Jul-2016 - 00:00,99.29,45.44,1.25,68.26,39.22,10.81,9.03,99,1
